Course_Code,Course_Name,Instructor,Exam_type,Exam_Date,Semester,Session
CS110,Data Structures & Algorithms,Prof Niladri Banerjee,End Term,20-Dec-2025,1,
CS246,Artificial Intelligence,Br Tamal Mj,End Term,23-Dec-2025,1,Jul - Dec 2025
DA104,Probability and Stochastic Processes,Dr Joydeep Mukherjee,End Term,24-Dec-2025,1,Jul - Dec 2025
S006,Universal Human Values,Swami Punyeshwarananda,End Term,26-Dec-2025,1,Jul - Dec 2025
CS230,Machine Learning,Swami Punyeshwarananda,End Term,27-Dec-2025,1,Jul - Dec 2025
DA102,Statistics I,Dr Sudipta Das,End Term,28-Dec-2025,1,Jul - Dec 2025
DA109,Linear Algebra and Matrix Computation,Dr Soumitra Samanta,End Term,29-Dec-2025,1,Jul - Dec 2025
